genere,nome_categoria,prodotto,prezzo_originale,prezzo_scontato,immagine,link,colore,colore2,categoria,sottocategoria,brand,materiale,materiale2,colore1,id_prodotto,differenza_prezzo,codice_colore
donna,sneakers,Sneakers da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656211_2_3df9.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656211001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655211_2_07bc.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655211001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655200_2_8595.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655200001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655155_2_6b39.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655155001.html,beige,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655144_2_075f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655144001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655133_2_71f4.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655133001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e argento con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655122_2_1602.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655122001.html,bianco,argento,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige e platino con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655100_2_51ea.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655100001.html,beige,platino,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655055_2_d015.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655055001.html,beige,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655022_2_cde5.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655022001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna blu con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655011_2_e7df.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655011001.html,blu,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517655000_2_4dbe.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517655000001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517654822_2_caba.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654822001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517654544_2_b335.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654544001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517654511_2_0d21.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654511001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517654500_2_f536.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654500001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517654122_2_1d79.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654122001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517654111_2_6267.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654111001.html,bianco,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna nero con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517654100_2_b8b9.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654100001.html,nero,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517654011_2_9017.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654011001.html,bianco,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517654000_2_ae77.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517654000001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653411_2_3cf5.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653411001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653400_2_e055.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653400001.html,bianco,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Slip on con zeppa da donna blu con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653322_2_4343.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653322001.html,blu,,slip on,zeppa,Igi&co,,,,,,
donna,sneakers,Slip on con zeppa da donna beige con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653311_2_922a.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653311001.html,beige,,slip on,zeppa,Igi&co,,,,,,
donna,sneakers,Slip on con zeppa da donna bianco con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653300_2_ce16.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653300001.html,bianco,,slip on,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e argento con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653211_2_67d7.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653211001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige e platino con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653200_2_6910.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653200001.html,beige,platino,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Slip on con zeppa da donna bianco e argento con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653111_2_f3fb.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653111001.html,bianco,argento,slip on,zeppa,Igi&co,,,,,,
donna,sneakers,Slip on con zeppa da donna beige e platino con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517653100_2_1af6.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517653100001.html,beige,platino,slip on,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco-argento,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415664711_2_ebfd.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415664711001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna nero,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415664700_2_f2ec.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415664700001.html,nero,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers in pelle da donna bianco,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415662000_2_31c9.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415662000001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna platino,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415661422_2_2feb.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415661422001.html,platino,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna argento,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415661411_2_ff9a.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415661411001.html,argento,,sneakers,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna beige-platino,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415660633_2_3c1a.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415660633001.html,beige,platino,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna celeste-argento,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415660622_2_93fa.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415660622001.html,celeste,argento,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna bianco-argento,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415660611_2_b198.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415660611001.html,bianco,argento,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna nero,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415660600_2_4d99.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415660600001.html,nero,,slip on,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige-platino,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415660533_2_b478.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415660533001.html,beige,platino,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna nero,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415660500_2_394c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415660500001.html,nero,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers in pelle da donna platino-beige,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415657044_2_eea2.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415657044001.html,beige,platino,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers in pelle da donna nero,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202415657022_2_ddc4.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202415657022001.html,nero,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneaker da donna beige-platino,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202313659133_2_75fd.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202313659133001.html,beige,platino,,,Igi&co,,,,,,
donna,sneakers,Slip on in pelle da donna perla-grigio chiaro,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202211660922_2_2f9f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202211660922001.html,grigio,perla,slip on,,Igi&co,,,,,,
donna,sneakers,Sneaker in pelle da donna jeans,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202211661011_2_7636.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202211661011001.html,,,,,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna platino e beige con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517677511_2_cdf4.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517677511001.html,beige,platino,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna nero con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517677500_2_716d.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517677500001.html,nero,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna nero con strap,74.9,59.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517666544_2_08b0.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517666544001.html,nero,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Mocassini con zeppa da donna blu con elastico,74.9,52.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517652544_2_029f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517652544001.html,blu,,mocassini,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna rosso con fibbia,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699433_2_f0bb.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699433001.html,rosso,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna marrone con fibbia,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699422_2_5e03.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699422001.html,marrone,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna bianco con fibbia,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699411_2_3864.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699411001.html,bianco,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna nero con fibbia,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699400_2_1948.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699400001.html,nero,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna marrone con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699333_2_2168.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699333001.html,marrone,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna verde con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699322_2_67e9.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699322001.html,verde,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna nero con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699300_2_4a7b.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699300001.html,nero,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna rosso con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699233_2_dcba.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699233001.html,rosso,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna marrone e beige con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699222_2_6b94.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699222001.html,beige,marrone,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna bianco con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699211_2_8559.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699211001.html,bianco,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna marrone e beige con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699122_2_089a.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699122001.html,beige,marrone,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna bianco con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699111_2_1896.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699111001.html,bianco,,sandali,zeppa,Igi&co,,,,,,
donna,zeppe,Sandali con zeppa da donna nero con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699100_2_f40c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699100001.html,nero,,sandali,zeppa,Igi&co,,,,,,
